127.0.0.1 - - [26/May/2016:09:59:05 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/May/2016:09:59:07 +0300] "GET /AutomaticAccessSystem/ HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [26/May/2016:09:59:24 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [26/May/2016:09:59:25 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/May/2016:09:59:25 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/May/2016:09:59:37 +0300] "POST /AutomaticAccessSystem/j_spring_security_check;jsessionid=86E44CA8914E423C5D6FCA2B48EA5674 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2016:09:59:37 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1604
0:0:0:0:0:0:0:1 - - [26/May/2016:10:00:28 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [26/May/2016:10:00:28 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:00:48 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [26/May/2016:10:00:48 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:02:34 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [26/May/2016:10:02:34 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:03:46 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [26/May/2016:10:03:46 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:05:05 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1678
0:0:0:0:0:0:0:1 - - [26/May/2016:10:05:05 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:05:58 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1670
0:0:0:0:0:0:0:1 - - [26/May/2016:10:05:58 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:07:14 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [26/May/2016:10:07:14 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:07:31 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [26/May/2016:10:07:31 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:07:39 +0300] "POST /AutomaticAccessSystem/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:07:39 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [26/May/2016:10:07:40 +0300] "POST /AutomaticAccessSystem/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:07:40 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [26/May/2016:10:07:58 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1609
0:0:0:0:0:0:0:1 - - [26/May/2016:10:08:54 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [26/May/2016:10:08:54 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:08:56 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1643
