127.0.0.1 - - [06/Jun/2016:17:08:05 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:08:12 +0300] "GET /AutomaticAccessSystem/ HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:08:24 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:08:25 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 200 119892
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:08:25 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:08:25 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:08:33 +0300] "POST /AutomaticAccessSystem/j_spring_security_check;jsessionid=74122030DCF74BB885AA80E3B058F4CE HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:08:34 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 12706
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:08:34 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 200 6008
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:08:35 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 200 16977
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:08:35 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:08:35 +0300] "GET /AutomaticAccessSystem/resources/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:08:35 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 200 22879
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:08:35 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 200 84280
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:08:35 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:08:36 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 200 1092132
